Name,"# of
Karns Quality Foods,7,PA,,,,
Kash N Karry,1,FL,,,,
Kay Foods,4,"MI, NJ, TX",,,,
Kens Foods,6,"AR, AZ, DE, FL, MA, OH",,,,
Kens Quik Foods,2,TX,,,,
Kensington Supermarket,2,"MD, MN",,,,
Kents Foods,2,UT,,,,
Kevins Great American,2,NY,,,,
Key Food,64,"IL, NJ, NY, OH, OR",,,,
Keystone Foods,12,"AL, AR, MI, OH, PA, WI",,,,
Kikos Supermarket,2,NJ,,,,
Kim Market,2,MA,,,,
Kim Young,2,NY,,,,
King Brothers Super Market,2,KY,,,,
King Food,7,"CA, FL, IL, MA, NY, WI",,,,
King Kullen,40,NY,,,,
King Ranch Market,5,CA,,,,
King Soopers,118,"CO, WY",,,,
Kings Super Market,39,"CA, FL, NJ, NY, PA, SC",,,,
Kleins Super Market,17,"MD, PA, TX",,,,
Kmart Super Centers,13,"CO, IL, IN, MI, NC, TN, TX",,,,
Koch Foods,10,"AL, GA, IN, MS, OH, TN",,,,
Kona Natural Foods,5,HI,,,,
Krauszers,13,"CT, NJ, PA",,,,
Kroger,1332,"AL, AR, CA, CO, GA, IL, IN, KY, LA, MI, MN, MO, MS, NC, NY, OH, SC, TN, TX, VA, WV",,,,
Kta Super Stores,5,HI,,,,
Kubiaks Family Foods,2,"ME, MN",,,,
Kumud Groceries,2,CA,,,,
Kwickie Flash Foods,14,GA,,,,
L & L Food Centers,8,MI,,,,
Labriola Leonard Foods,3,PA,,,,
Lake Mystic Super Market,2,FL,,,,
Lakeside Foods,2,WI,,,,
Lakewinds Natural Foods,4,MN,,,,
Landis Supermarket,4,PA,,,,
Landmark Foods,4,"AR, MS, TX",,,,
Lawrence Bros Iga,13,,,,,
Leevers Supermarket,3,CO,,,,
Legacy Foods,3,"IN, KS",,,,
Leisure Time Foods,6,"NC, SC, VA",,,,
Leprino Foods,13,"CA, CO, MI, NE, NM, NY",,,,
Lewis Food Town,12,TX,,,,
Lil Cricket,4,SC,,,,
Lil Peach,25,MA,,,,
Lobill Foods,13,"IN, OH",,,,
Logli Supermarkets,1,IL,,,,
Lowes Food,87,"NC, NM, SC, TX",,,,
Lucky's Supermarket,10,"AL, NV",,,,
Luihn Foods,3,NC,,,,
Mac's Fresh Market,5,LA,,,,
Mace Supermarkets,2,MO,,,,
Macs Market,2,"NH, VT",,,,
Made In Hawaii Foods,2,HI,,,,
Madison Foods,2,MT,,,,
Malone's Food Stores,5,TX,,,,
Mana Foods,2,HI,,,,
Mandros Imported Foods,3,PA,,,,
Marathon,2,"KY, TN",,,,
Marigold Foods,8,"IA, MN, WI",,,,
Marino's Associated Foods,2,AL,,,,
Market Basket,115,"AZ, CA, GA, ID, IL, IN, LA, MA, MD, ME, MI, MS, MT, NC, NH, NJ, NY, OH, OR, PA, TX, VA, WA, WI",,,,
Marketplace Foods,3,"MN, ND",,,,
Mars Supermarket,24,MD,,,,
Marsh Supermarket,93,"IN, OH",,,,
Martin Preferred Foods,4,TX,,,,
Martin's Super Market,29,"IN, MI",,,,
Meijer,154,"IL, IN, KY, MI, NY, OH",,,,
Melmarkets Foodtown,9,NY,,,,
Met Foods,38,"NJ, NY",,,,
Metal Supermarkets,36,"AL, AZ, CA, GA, IL, IN, KY, MI, MN, NE, NJ, NY, OH, OR, PA, TN, WA, WI",,,,
Metro Food Market,4,MD,,,,
Mi Bandera Supermarket,3,"FL, OH",,,,
Michael Foods,10,"IN, MN, NE, NJ",,,,
Michoacam Supermarket,2,CA,,,,
Mission Foods,45,"AZ, CA, CO, GA, IA, KS, MN, MO, NY, PA, TX, VA",,,,
Mojave Foods,7,"CA, CO, GA, NV, SC, TX",,,,
Morningstar Foods,7,"CA, FL, KY, MD, VA",,,,
Mother Earth Natural Foods,3,"FL, NY",,,,
Neighborhood Market,95,"AR, AZ, FL, IN, KS, KY, LA, MS, NM, NV, OK, TN, TX, UT",,,,
New Way Supermarket,10,"FL, NJ, NY, RI",,,,
Newly Weds Food,8,"AR, IL, MA, NJ",,,,
Newmans Foods,2,MO,,,,
Nice N Easy Grocery Shoppe,19,NY,,,,
Niemann Foods,7,"IL, MO",,,,
Nijiya Market,5,CA,,,,
Nikken Foods,2,MO,,,,
No Frills Supermarket,17,"IA, NE",,,,
Nob Hill Foods,3,CA,,,,
North Bay Foods,4,,,,,
North End Market,4,"MA, NH, OH, VT",,,,
Northgate Markets,11,"CA, FL",,,,
Northland Foods,4,"MI, WI",,,,
Nutricion Fundamental,8,CA,,,,
Oakridge Supermarket,3,MI,,,,
Occidental International Foods,3,NJ,,,,
Old Dutch Foods,20,"FL, IA, MN, ND, NE, SD, VA, WI",,,,
One Stop Market,7,"CA, MA, NY",,,,
Outpost Natural Foods,5,"HI, WI",,,,
Owens Supermarket,4,"IN, NV",,,,
P & C Foods,59,"NH, NY, PA, VT",,,,
P & T Supermarket,4,"LA, NJ",,,,
P W Supermarkets,7,CA,,,,
Pacific Supermarket,6,HI,,,,
Pak'n Save,5,CA,,,,
Pal Supermarket,3,"NJ, NY",,,,
Pantry Foods,4,"IN, WI",,,,
Paradise Foods,6,"CA, MI, WY",,,,
Park N Shop,3,MA,,,,
Park Place Foods,7,TX,,,,
Patco Handy Stop,9,CT,,,,
Patel Brothers,10,"CA, MA, NY, PA, TX",,,,
Pathmark,69,"DE, NJ, NY, PA",,,,
Patricias Foods,5,MO,,,,
Patrick Murphy Market,2,NY,,,,
Pats Foods,5,MI,,,,
Paul's Supermarket,5,"GA, MO",,,,
Pavilions,5,CA,,,,
Paw Creek Foods Incorporated,2,MA,,,,
Pax Wholesome Foods,7,NY,,,,
Payfair Supermarket,3,FL,,,,
Payless Super Market,5,"LA, TX, VA",,,,
Peachtree Natural Foods,5,"AL, GA",,,,
Pechin,5,PA,,,,
Pecks Market,3,NY,,,,
Pennant Foods,5,"GA, IL",,,,
Perez Supermarket,5,NJ,,,,
Pic N Save,5,"AL, IN",,,,
Pic Pac Supermarket,8,"KY, MI",,,,
Pick Quick Foods,9,NY,,,,
Pick'n Save,16,WI,,,,
Pickles Olives Etc,2,NJ,,,,
Pierces Supermarket,3,WI,,,,
Pierre Foods,1,NC,,,,
Piggly Wiggly,535,"AL, AR, FL, GA, IL, KS, KY, LA, MN, MO, MS, NC, OK, SC, TN, TX, VA, WA, WI",,,,
Piglet Supermarket,2,"GA, SC",,,,
Pik Nik Foods,5,TX,,,,
Pinnacle Foods,13,"AL, AR, AZ, IA, MI, NE, NJ",,,,
Pioneer Supermarket,27,"NY, PA",,,,
President Supermarket,9,"FL, NJ",,,,
Price Chopper,101,"AR, CT, KS, MA, MO, NY, PA, VT",,,,
Price Cutter,6,"AR, MO, OK",,,,
Price Less Foods,4,"CA, IL, OR",,,,
Price Rite,18,"CT, IL, MA, NY, PA, RI",,,,
Publix,1144,"AL, FL, GA, IA, IL, MI, NJ, NY, OH, SC, TN",,,,
Pw Supermarkets,4,CA,,,,
Qfc Quality Food Centers,59,"AR, NE, OR, PA, WA",,,,
Quality Dairy Co.,14,MI,,,,
Quality Food Mart Super Markets,5,TX,,,,
Rainbow Foods,22,"GA, IL, MN, VA",,,,
Raley's Supermarkets & Drug Centers,40,"CA, NM, NV",,,,
Ralphs Grocery Co.,19,"CA, KS, KY, MO",,,,
Rameys Supermarket,11,MS,,,,
Red Apple Food Marts,27,"MI, NY, PA, WY",,,,
Resers Fine Foods,19,"AR, FL, ID, KS, MT, OK, OR, UT, WA",,,,
Reynolds Supermarket,2,"MT, WY",,,,
Riceland Foods,23,"AR, LA, MO",,,,
Richdale Dairy Store,5,"MA, NH",,,,
Right Way Foods,13,FL,,,,
Roche Bros,16,MA,,,,
Rosauers Supermarket,11,"ID, OR, WA",,,,
Rosco Supermarket,2,CA,,,,
Rouse's Supermarket,15,"LA, MS",,,,
Rowes Supermarkets,4,FL,,,,
Run In Foods,5,NC,,,,
Rush Hour Foods,4,"IN, TX",,,,
Sack N Save Foods,7,"HI, OH",,,,
Safeway,1074,"AK, AZ, CA, CO, DC, DE, FL, HI, ID, IN, MD, MO, MT, NE, NM, NV, NY, OR, PA, SC, SD, TX, VA, WA, WY",,,,
Sam's Club,31,"CA, CT, FL, GA, IL, IN, LA, MI, MO, MS, NC, OH, SC, TX, WI, WV",,,,
Sav A Lot,2,"FL, IL",,,,
Save A Lot,396,"AL, AR, AZ, CA, CO, CT, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NJ, NY, OH, OK, OR, PA, RI, SC, TN, TX, VA, WA, WI, WV",,,,
Save Mart Supermarket,122,"AR, CA, NV, NY, OH, TX",,,,
Saveland Supermarket,4,"FL, MI",,,,
SaveRite Grocery Warehouse,1,FL,,,,
Saverite Grocery Warehouse,1,,,,,
Saveway Foods,5,"CA, IL, OH, WV",,,,
Schnuck Markets,108,"IL, IN, MO, MS, TN",,,,
Schratter Foods,8,"CA, FL, NJ, TX",,,,
Schreiber Food Inc.,32,"AZ, CO, GA, KY, MO, NC, NJ, PA, RI, TN, TX, UT, WA, WI",,,,
Schwan's Fine Food,128,"AL, AR, AZ, CA, CO, DE, FL, IA, ID, IL, IN, KS, KY, LA, MD, MI, MN, MO, MS, MT, NC, NE, NM, NV, NY, OH, OK, PA, SC, TN, TX, VA, WA, WI, WV, WY",,,,
Scolaris Food & Drug Co.,4,"CA, NV",,,,
Scotts Foods,12,"IA, IN",,,,
Seabra Supermarkets,9,"MA, NJ, RI",,,,
Seafood City Supermarket,8,CA,,,,
Seafood City Supermarkets,1,,,,,
Sedanos Supermarket,28,FL,,,,
Selecto Supermarket,2,NJ,,,,
Seneca Foods,27,"FL, ID, MN, NY, WA, WI",,,,
Sentry Foods,20,"GA, IL, VA, WI",,,,
Shamrock Foods,15,"AZ, CO, MA, NJ, NM",,,,
Shaw's Osco,29,"CT, MA, ME, NH, RI",,,,
Shaws,184,"CA, CT, MA, ME, NH, RI, VT",,,,
Sherwood Foods,6,"IL, MI, OH, VA",,,,
Shop and Go,4,"AR, CA, NY, TX",,,,
Shop N Save,117,"AL, AZ, CA, CO, FL, IA, IL, ME, MI, MO, MS, NC, OH, PA, TX, WV",,,,
Shop Rite,3,NY,,,,
Shop Smart,7,,,,,
Shoppers Food,60,"DC, DE, MD, VA",,,,
Shoprite,129,"CA, CT, DE, FL, GA, IL, KY, NJ, NY, OH, PA",,,,
Shore Stop Food Stores,7,DE,,,,
Sigma Foods,19,"AZ, CA, CO, FL, GA, NV, TX, UT",,,,
Smart & Final,158,"AZ, CA, FL, NV",,,,
Smithfield Food,8,"MA, NY, OK, VA",,,,
Smiths Food & Drug Centers,145,"AZ, CA, ID, IN, MT, NC, NM, NV, UT, WY",,,,
Snappy Foods,14,"GA, TX",,,,
Southern Family Foods,7,"AL, GA, MS",,,,
Sparkle Super Markets,7,OH,,,,
Spee D Foods,12,"GA, OH",,,,
Sprint Foods,9,GA,,,,
Spruce Foods,2,CA,,,,
Star Market,27,"HI, MA, NV, NY",,,,
Stater Bros,120,CA,,,,
Stop & GO,15,"CT, FL, MA, NY, OH, TX",,,,
Stop & Save,2,"CA, CT",,,,
Stop & Shop,663,"AL, AR, AZ, CA, CO, CT, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NH, NJ, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VT, WA, WI",,,,
Stop 1 Supermarket,4,"MA, NJ, NY",,,,
Stop Market,2,"CA, RI",,,,
Stop N Save,8,"CA, MA, TX",,,,
Stop One Grocery,8,"CT, NJ, NY",,,,
Store 24,3,"MA, NH",,,,
Streetmans Supermarket,9,OK,,,,
Stremicks Heritage Foods,3,CA,,,,
Stripes,6,OK,,,,
Sturm Foods Inc,2,WI,,,,
Sugar Creek Stores,7,NY,,,,
Sullivans Foods,16,"IA, IL, OH",,,,
Summer Fresh Supermarket,7,MO,,,,
Sun Hop Fat 1 Supermarket,3,CA,,,,
Sun Market,3,"DC, MA",,,,
Sun Mart Foods,4,NE,,,,
Sun Sang Supermarket,2,CA,,,,
Sun Valley Foods,3,"ID, MI, NV",,,,
Sunbelt Foods,2,"GA, TX",,,,
Sunbelt Natural Foods,3,FL,,,,
Sundance Natural Foods,3,"CA, OR",,,,
Sunflower Farmers Market,3,"AZ, NV",,,,
Sunflower Natural Foods,6,"CA, CO, IN, OH, VT",,,,
Sunflower Natural Foods Market,1,NY,,,,
Sunflower Supermarket,2,MS,,,,
Sunland Foods,2,FL,,,,
Sunmart,9,"MN, ND, NE, TX",,,,
Sunny Food Store,7,"AL, NY, TX",,,,
Sunny Fresh,5,"IA, MI, MN",,,,
Sunny Groceries,2,MD,,,,
Sunny Ridge Supermarket,1,CT,,,,
Sunrise Food,14,"CA, FL, MI, NJ, NY, OH, TX, WI",,,,
Sunrise Natural Foods,5,"CA, MN, NY",,,,
Sunrise Natural Foods Inc,1,FL,,,,
Sunset Foods,3,"IL, NM",,,,
Sunshine Fine Foods,2,OH,,,,
Sunshine Foods,21,"CA, CT, FL, IA, IL, MI, MN, NY, PA, SD, WI",,,,
Sunshine Market,4,"CA, MA, MO, RI",,,,
Sunshine Natural Foods,4,"IA, OR, TX",,,,
Sunshine Supermarket,4,"FL, NY, VA, WI",,,,
Sunshine Supermarkets,1,FL,,,,
Super 1 Foods,42,"AR, ID, LA, MT, OR, TX, WA",,,,
Super A Foods,15,"CA, TX",,,,
Super Bargain,4,CA,,,,
Super Bear Supermarket,2,AK,,,,
Super Food,2,FL,,,,
Super Food Store,4,"GA, TX",,,,
Super Fresh,48,"DC, DE, IL, MD, MN, NJ, PA, TX",,,,
Super K Food Store,3,"CA, FL, TX",,,,
Super One Foods,18,"LA, MI, MN, ND, WA, WI",,,,
Super S Foods,38,TX,,,,
Super Target,6,"GA, IA, IL, LA, TX",,,,
Superfresh,6,"MD, NJ, PA",,,,
Superior Market,9,NY,,,,
Superior Supermarket,6,"CT, NC, NJ, NY",,,,
Supervalu,22,"AL, CA, GA, IL, MN, MS, MT, ND, NJ, NM, OH, PA, WA, WI, WV",,,,
Supervalue,1,OH,,,,
Sure Winner Foods,7,"MA, ME, NH",,,,
Sweetbay Supermarket,89,FL,,,,
Tawa Supermarket,9,"CA, NV",,,,
Tedeschi Food Shops,26,MA,,,,
Terry's Supermarket,7,TX,,,,
Terrys Supermarket,2,,,,,
Thriftway,23,"CA, FL, GA, IA, KS, ME, MN, MO, NM, NY, OH, PA, TX, VA",,,,
Times Super Market,15,HI,,,,
Tops Friendly Markets,33,"NY, OH",,,,
Tops Market,32,NY,,,,
Town & Country,40,"AR, GA, KS, KY, MI, MO, MT, VA, WI",,,,
Trade Fair,12,NY,,,,
Trader Joe's,39,"CA, CT, MA, MI, MO, NV, NY, OH",,,,
Tradewinds Marketplace,3,ME,,,,
Tropical Supermarket,11,"FL, MD",,,,
Turkey Hill Mini Market,184,PA,,,,
Twin City Foods,16,"ID, MI, NJ, WA",,,,
U Save Super Markets,8,FL,,,,
Ukrops Super Market,36,"TX, VA",,,,
Ultra Food's,1,IL,,,,
Ultra Foods,11,IN,,,,
United Supermarket,75,"IL, OK, TX",,,,
Vallarta Supermarket,26,"CA, MI",,,,
Vons,255,"CA, MD, MI, NV, NY, SC, TN",,,,
Wal-Mart Supercenter,2592,"AK, AL, AR, AZ, CA, CO, CT, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, WA, WI, WV, WY",,,,
Waldbaums,69,NY,,,,
Wawa Food Markets,529,"DE, MD, NJ, PA, VA",,,,
Wayfield Foods,14,GA,,,,
Wegmans,93,"MD, NJ, NY, PA, VA",,,,
Weis Markets,105,"CA, CT, MD, NJ, PA, VA, WV",,,,
Wesselmans Supermarket,11,IN,,,,
Western Supermarket,14,"AL, IL, IN, NY",,,,
Westfarm Foods,6,"CA, ID, OR, WA",,,,
White Hen Pantry,14,"MA, NH",,,,
White Market,5,VT,,,,
Whites Fresh Foods,13,"TN, VA",,,,
Whole Foods Market,68,"AZ, CA, CO, CT, FL, GA, IL, IN, KS, MA, MD, MI, MN, NC, NV, NY, OH, OK, OR, PA, TX, VA, WA, WY",,,,
Winco,14,"CA, OR",,,,
Winn Dixie,608,"AL, FL, GA, KY, LA, MS, NC, OK, SC, TN, TX, VA",,,,